Title,Date,Category,Link,Agency
Magellan Diagnostics Sentenced For Concealing Malfunction In Lead Testing Devices,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-sentenced-for-concealing-malfunction-in-lead-testing-devices/,"U.S. Attorney's Office, District of Massachusetts"
Teva Pharmaceuticals Agrees To Pay $425 Million To Resolve Kickback Allegations,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/teva-pharmaceuticals-agrees-to-pay-425-million-to-resolve-kickback-allegations/,"U.S. Attorney's Office, District of Massachusetts"
Generic Pharmaceutical Company Pays $25 Million To Resolve False Claims Act Liability For Price-Fixing Of Generic Drugs,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/generic-pharmaceutical-company-pays-25-million-to-resolve-false-claims-act-liability-for-price-fixing-of-generic-drugs/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Drug Maker Teva Pharmaceuticals Agrees To Pay $450M In False Claims Act Settlement To Resolve Kickback Allegations Relating To Copayments And Price Fixing,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-maker-teva-pharmaceuticals-agrees-to-pay-450m-in-false-claims-act-settlement-to-resolve-kickback-allegations-relating-to-copayments-and-price-fixing/,U.S. Department of Justice
"In Latest Welfare Fraud Win, Attorney General Todd Rokita Secures Six-Figure Settlement & Criminal Conviction Against Highland Home Health Provider",2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/in-latest-welfare-fraud-win-attorney-general-todd-rokita-secures-six-figure-settlement-criminal-conviction-against-highland-home-health-provider/,State of Indiana
TennCare Fraud Investigation Leads To Arrests Of Two Memphis Woman,2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-two-memphis-woman/,State of Tennessee
"Ultra Radio Dispatch Service Agreed to Pay $61,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration",2024-10-09,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ultra-radio-dispatch-service-agreed-to-pay-61000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration/,No agency found
Two Los Angeles-Area Residents Arrested On Indictment Alleging Scheme To Fraudulently Obtain And Launder Medicare Proceeds,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-los-angeles-area-residents-arrested-on-indictment-alleging-scheme-to-fraudulently-obtain-and-launder-medicare-proceeds/,"U.S. Attorney's Office, Central District of California"
Disabilities Day Program Employee Sentenced To 230 Days In Jail For Exploiting Vulnerable Adults And Shoplifting,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/disabilities-day-program-employee-sentenced-to-230-days-in-jail-for-exploiting-vulnerable-adults-and-shoplifting/,"U.S. Attorney's Office, District of Columbia"
Eight Charged In $68M Social Adult Day Care And Home Health Care Scheme,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eight-charged-in-68m-social-adult-day-care-and-home-health-care-scheme/,U.S. Department of Justice
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-health-care-company-and-former-therapist-resolve-fraudulent-psychotherapy-billing-allegations-involving-vulnerable-refugee-population/,"U.S. Attorney's Office, District of Idaho"
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-dealer-sentenced-to-nine-years-in-prison-for-opioid-pill-mill-scheme-that-illegally-distributed-more-than-12-million-oxycodone-pills/,"U.S. Attorney's Office, Eastern District of New York"
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims",2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-sioux-city-plastic-surgeon-agrees-to-pay-nearly-200000-to-settle-allegations-he-submitted-false-claims/,"U.S. Attorney's Office, Northern District of Iowa"
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, Northern District of New York"
Doctor Sentenced For $54M Medicare Fraud Scheme,2024-10-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-54m-medicare-fraud-scheme/,U.S. Department of Justice
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,2024-10-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-reaches-settlement-with-swampscott-based-medical-transportation-company-to-resolve-false-billing-allegations/,State of Massachusetts
Physician Charged In Scheme To Illegally Sell Cancer Drugs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-charged-in-scheme-to-illegally-sell-cancer-drugs/,"U.S. Attorney's Office, Eastern District of Michigan"
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/washington-doctor-settles-allegations-he-submitted-false-claims-to-federal-health-care-programs/,"U.S. Attorney's Office, Western District of Washington"
Tennessee Business Owner Convicted of $35M Fraud Scheme,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-business-owner-convicted-of-35m-fraud-scheme/,U.S. Department of Justice
Attorney General Griffin Announces Medicaid Fraud Arrest,2024-10-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-arrest/,State of Arkansas
Arizona Doctor Sentenced To Prison For Health Care Fraud,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-doctor-sentenced-to-prison-for-health-care-fraud/,"U.S. Attorney's Office, District of Arizona"
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-role-in-69-million-scheme-to-bill-insurance-for-medications-not-dispensed/,"U.S. Attorney's Office, Eastern District of Michigan"
"Pine Belt Mental Healthcare Resources Agreed to Pay $43,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals",2024-10-24,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pine-belt-mental-healthcare-resources-agreed-to-pay-43000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals/,No agency found
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,2024-10-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-nurse-aide-charged-with-stealing-from-vulnerable-adult/,State of South Carolina
"Accura Healthcare Management Services and Accura Healthcare of Knoxville Agreed to Pay $60,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/accura-healthcare-management-services-and-accura-healthcare-of-knoxville-agreed-to-pay-60000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
"Coliseum Medical Center Agreed to Pay $100,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination",2024-10-23,CMP and Affirmative Exclusions and EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/coliseum-medical-center-agreed-to-pay-100000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/,No agency found
New York Doctor Charged with Health Care Fraud,2024-10-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-charged-with-health-care-fraud/,"U.S. Attorney's Office, District of Massachusetts"
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,2024-10-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-eastern-kentucky-pharamacist-sentenced-for-healthcare-fraud/,"U.S. Attorney's Office, Eastern District of Kentucky"
"University of Texas Health Science Center at Houston Agreed to Pay $48,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Identified the Incorrect Rendering Provider or Did Not Meet Coverage Criteria",2024-10-23,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/university-of-texas-health-science-center-at-houston-agreed-to-pay-48000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-identified-the-incorrect-rendering-provider-or-did-not-meet-coverage-criteria/,No agency found
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage",2024-10-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-mobile-phlebotomy-lab-and-its-owners-to-pay-135000-to-resolve-allegedly-false-claims-for-blood-testing-services-and-travel-mileage/,U.S. Department of Justice
South Dakota Surgical Hospital Agrees To Pay More Than $12.7M To Resolve Alleged False Claims Act Violations,2024-09-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-dakota-surgical-hospital-agrees-to-pay-more-than-127m-to-resolve-alleged-false-claims-act-violations/,U.S. Department of Justice
"Dunes Surgical Hospital and USP Siouxland Agreed to Pay $267,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Office Space and Above Fair Market Value for Services",2024-09-16,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/dunes-surgical-hospital-and-usp-siouxland-agreed-to-pay-267000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-office-space-and-above-fair-market-value-for-services/,No agency found
Attorney General Alan Wilson Announces Upstate Woman Charged With Fraud And Stealing From Vulnerable Adult,2024-09-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-fraud-and-stealing-from-vulnerable-adult/,State of South Carolina
Licensed Professional Counselor Indicted In $2 Million Health Care Fraud Scheme,2024-09-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/licensed-professional-counselor-indicted-in-2-million-health-care-fraud-scheme/,"U.S. Attorney's Office, Southern District of Texas"
California Addiction Treatment Facility Operator Convicted Of Paying Nearly $2.9M In Illegal Kickbacks,2024-09-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-addiction-treatment-facility-operator-convicted-of-paying-nearly-29m-in-illegal-kickbacks/,U.S. Department of Justice
Walgreens Agrees To Pay $106.8M To Resolve Allegations It Billed The Government For Prescriptions Never Dispensed,2024-09-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/walgreens-agrees-to-pay-1068m-to-resolve-allegations-it-billed-the-government-for-prescriptions-never-dispensed/,"U.S. Department of Justice and U.S. Attorney's Office, Middle District of Florida"
Sioux City Mental Health Counselor Arrested For Fraudulent Billing Insurance And Medicaid,2024-09-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/sioux-city-mental-health-counselor-arrested-for-fraudulent-billing-insurance-and-medicaid/,State of Iowa
Geriatric Nursing Assistant Sentenced For Theft Involving Nursing Facility Resident’s Debit Card,2024-09-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/geriatric-nursing-assistant-sentenced-for-theft-involving-nursing-facility-residents-debit-card/,State of Maryland
Final Medoc Defendant Sentenced In $4.4 Million Prescription Kickback Scheme,2024-09-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/final-medoc-defendant-sentenced-in-44-million-prescription-kickback-scheme/,"U.S. Attorney's Office, Northern District of Texas"
Former Charleston Physician Pleads Guilty To Federal Opioid Crime,2024-09-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-charleston-physician-pleads-guilty-to-federal-opioid-crime/,"U.S. Attorney's Office, Southern District of West Virginia"
Attorney General James Secures More Than $7.6 Million From Health Insurer For Using Banned Medicaid Provider,2024-09-12,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-more-than-76-million-from-health-insurer-for-using-banned-medicaid-provider/,State of New York
United States Settles Claims Of Durable Medical Equipment Fraud Against Wilmington Physician,2024-09-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-settles-claims-of-durable-medical-equipment-fraud-against-wilmington-physician/,"U.S. Attorney’s Office, District of Delaware"
"Man Pleads Guilty To Stealing More Than $68,000 From Medicaid And SNAP",2024-09-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-to-stealing-more-than-68000-from-medicaid-and-snap/,"U.S. Attorney’s Office, District of New Hampshire"
"United States Files Suit Against Pain Institute Of Nashville, Michael Cox, Debbie Cox, And Related Entities",2024-09-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-suit-against-pain-institute-of-nashville-michael-cox-debbie-cox-and-related-entities/,"U.S. Attorney’s Office, Middle District of Tennessee"
"Medical Center Health System and Medical Center Hospital, and MCH Professional Care, Agreed to Pay $518,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services",2024-09-11,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/medical-center-health-system-and-medical-center-hospital-and-mch-professional-care-agreed-to-pay-518000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-services/,No agency found
Behavioral Health Care Company Executive Charged With Health Care Fraud,2024-09-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-health-care-company-executive-charged-with-health-care-fraud/,"U.S. Attorney's Office, District of Massachusetts"
"Baylor College of Medicine Agreed to Pay $622,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying for Certain Technical Components of Services Related to Referrals by Certain Physicians and Physician Practices",2024-09-10,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/baylor-college-of-medicine-agreed-to-pay-622000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-for-certain-technical-components-of-services-related-to-referrals-by-certain-physicians-and-physician-practices/,No agency found
Marketer Of Durable Medical Equipment Admits Multimillion-Dollar Health Care Fraud Scheme,2024-09-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/marketer-of-durable-medical-equipment-admits-multimillion-dollar-health-care-fraud-scheme/,"U.S. Attorney's Office, District of New Jersey"
"Medical Device Company To Pay $700,000 To Resolve False Claims Act Allegations Concerning Inflated Reimbursements From Medicare And Medicaid",2024-09-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-company-to-pay-700000-to-resolve-false-claims-act-allegations-concerning-inflated-reimbursements-from-medicare-and-medicaid/,U.S. Department of Justice
"Pharmacists Convicted Of $13M Medicare, Medicaid, And Private Insurer Fraud Scheme",2024-09-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacists-convicted-of-13m-medicare-medicaid-and-private-insurer-fraud-scheme/,U.S. Department of Justice
Brooklyn-Based Home Health Care Agencies Settle Fraud Claims for $9.75 Million and Agree to Pay $7.5 Million in Wages and Benefits to Underpaid Aides,2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brooklyn-based-home-health-care-agencies-settle-fraud-claims-for-975-million-and-agree-to-pay-75-million-in-wages-and-benefits-to-underpaid-aides/,"U.S. Attorney's Office, Eastern District of New York"
Founder and Chief Executive Officer of Injectable Stem Cell Product Manufacturer Sentenced for Distributing Unapproved Drug,2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/founder-and-chief-executive-officer-of-injectable-stem-cell-product-manufacturer-sentenced-for-distributing-unapproved-drug/,U.S. Department of Justice
"Joint Regeneration of North Atlanta Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Orthoses that Did Not Meet Medicare Requirements",2024-09-30,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/joint-regeneration-of-north-atlanta-agreed-to-pay-66000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-orthoses-that-did-not-meet-medicare-requirements/,No agency found
Attorney General James And U.S. Attorney Peace Secure Over $17 Million From Home Health Agencies For Cheating Workers And Defrauding Medicaid In Landmark Wage Parity Agreement,2024-09-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-and-us-attorney-peace-secure-over-17-million-from-home-health-agencies-for-cheating-workers-and-defrauding-medicaid-in-landmark-wage-parity-agreement/,State of New York
The Pathway Home Abuse Investigation – Victims Being Sought,2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-pathway-home-abuse-investigation-victims-being-sought/,Anchorage Police Department
Owner of Oahu Physical Therapy Clinics Pleads Guilty to Health Care Fraud,2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-oahu-physical-therapy-clinics-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, District of Hawaii"
"Hospital, Laboratory, Referring Physician, and Lab Employees Pay More than $7.2 Million To Resolve Civil Allegations of Fraudulent Laboratory Testing",2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospital-laboratory-referring-physician-and-lab-employees-pay-more-than-72-million-to-resolve-civil-allegations-of-fraudulent-laboratory-testing/,"U.S. Attorney’s Office, Eastern District of Kentucky"
"Physician and Office Manager Pay $450,000 to Resolve Alleged Violations of the Controlled Substance Act and the False Claims Act",2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-and-office-manager-pay-450000-to-resolve-alleged-violations-of-the-controlled-substance-act-and-the-false-claims-act/,"U.S. Attorney’s Office, Eastern District of Kentucky"
Behavioral Healthcare Company Executive Pleads Guilty to Healthcare Fraud,2024-09-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-healthcare-company-executive-pleads-guilty-to-healthcare-fraud/,"U.S. Attorney's Office, District of Massachusetts"
Acadia Healthcare Company Inc. to Pay $19.85M to Settle Allegations Relating to Medically Unnecessary Inpatient Behavioral Health Services,2024-09-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acadia-healthcare-company-inc-to-pay-1985m-to-settle-allegations-relating-to-medically-unnecessary-inpatient-behavioral-health-services/,U.S. Department of Justice
Attorney General Griffin Announces Arrest Of Little Rock Woman On Felony Medicaid Fraud Charge,2024-09-26,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-arrest-of-little-rock-woman-on-felony-medicaid-fraud-charge/,State of Arkansas
Texas Businessman Accused of $1.9 Million COVID Test Kit Fraud,2024-09-25,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-businessman-accused-of-19-million-covid-test-kit-fraud/,"U.S. Attorney’s Office, Eastern District of Missouri"
Over 100 Defendants Federally Charged With Fraud Related To The COVID-19 Pandemic,2024-09-25,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/over-100-defendants-federally-charged-with-fraud-related-to-the-covid-19-pandemic/,"U.S. Attorney’s Office, Middle District of Florida"
Former Pharmacy Chief Financial Officer and Former Pharmacy President Admit Roles in $33 Million Pharmacy Compounded Medication Scheme,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-pharmacy-chief-financial-officer-and-former-pharmacy-president-admit-roles-in-33-million-pharmacy-compounded-medication-scheme/,"U.S. Attorney’s Office, District of New Jersey"
Prineville Woman Sentenced to Federal Prison for Multi-Million Dollar Drug Treatment Fraud Scheme,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prineville-woman-sentenced-to-federal-prison-for-multi-million-dollar-drug-treatment-fraud-scheme/,"U.S. Attorney’s Office, District of Oregon"
"$2,125,640 Recouped in Civil Settlements for Violations of the False Claims Act from Local Pharmacies in Cidra and Florida, Puerto Rico",2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/2125640-recouped-in-civil-settlements-for-violations-of-the-false-claims-act-from-local-pharmacies-in-cidra-and-florida-puerto-rico/,"U.S. Attorney’s Office, District of Puerto Rico"
27 Individuals Indicted for Buying and Selling Wholesale Quantities of Misbranded and Diverted Prescription Drugs Resold to the Public Through Retail Pharmacies in Puerto Rico,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/27-individuals-indicted-for-buying-and-selling-wholesale-quantities-of-misbranded-and-diverted-prescription-drugs-resold-to-the-public-through-retail-pharmacies-in-puerto-rico/,"U.S. Attorney’s Office, District of Puerto Rico"
"Ra Medical Systems, Inc. & Physicians Pay Over $8 Million to Resolve False Claims Act Allegations of Illegal Kickbacks",2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ra-medical-systems-inc-physicians-pay-over-8-million-to-resolve-false-claims-act-allegations-of-illegal-kickbacks/,"U.S. Attorney’s Office, Eastern District of Michigan"
USAO NDWV Secures False Claims Act Settlement Relating to Use of Amniotic Fluid Injections for Pain Management,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/usao-ndwv-secures-false-claims-act-settlement-relating-to-use-of-amniotic-fluid-injections-for-pain-management/,"U.S. Attorney’s Office, Northern District of West Virginia"
Virginia-Based Defense Contractor To Pay $2.25 Million Fine for Bribery Conspiracy,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-based-defense-contractor-to-pay-225-million-fine-for-bribery-conspiracy/,"U.S. Attorney’s Office, Southern District of California"
"Big South Fork Medical Center Agreed to Pay $60,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations",2024-09-24,CMP and Affirmative Exclusions and EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/big-south-fork-medical-center-agreed-to-pay-60000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations/,No agency found
Seven People Charged With Over $40 Million In Medicare And Medicaid Fraud,2024-09-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seven-people-charged-with-over-40-million-in-medicare-and-medicaid-fraud/,"U.S. Attorney’s Office, District of Colorado"
"Digestive Health Partners Agreed to Pay $74,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Drugs and Services",2024-09-24,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/digestive-health-partners-agreed-to-pay-74000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-upcoded-drugs-and-services/,No agency found
Attorney General Alan Wilson announces Irmo woman charged with stealing from Charleston nursing home resident,2024-09-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-irmo-woman-charged-with-stealing-from-charleston-nursing-home-resident/,State of South Carolina
Home Health Care Companies Owner Convicted Of Medicaid Fraud,2024-09-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-companies-owner-convicted-of-medicaid-fraud/,"U.S. Attorney's Office, Southern District of Ohio"
"Hope Pharmacy Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Waived Copayments",2024-09-23,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/hope-pharmacy-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-waived-copayments/,No agency found
"Michael G. Valpiani, MD AZ, and Dr. Michael G. Valpiani Agreed to Pay $296,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2024-09-23,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/michael-g-valpiani-md-az-and-dr-michael-g-valpiani-agreed-to-pay-296000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/,No agency found
